职位,公司名称,薪资范围,城市,经验要求,学历要求,领域,公司性质,规模,标签
IT信息经理,优护优家健康科技（苏州）有限公司,1.5-2.5万·13薪,昆山,8-9年,大专,快速消费品(食品、饮料、化妆品),民营,500-1000人,"['计算机', '需求调研', '功能设计', '产品规划', '系统开发', '数据敏感', '信息化建设', '运行维护', '问题处理', '开发管理', '员工旅游', '年终奖金', '五险一金', '通讯补贴', '餐饮补贴', '专业培训', '定期体检']"
创新业务主体通鑫—IoT云端架构师,通力电梯有限公司,2.5-3万·13薪,昆山,8年及以上,本科,机械/设备/重工,外资（欧美）,10000人以上,"['计算机', 'java', '软件工程', 'kafka', '架构设计', '技术培训', '微服务架构', 'websocket', 'flink', '代码评审', '培训']"
IT经理,苏州星辰商务服务有限公司,1-2万·13薪,昆山,6年及以上,大专,租赁服务,外资（欧美）,少于50人,"['运维管理', '数字化', '信息安全体系', 'it管理', '数据管理体系', '计算机及应用', '内部培训', '社保', '五险一金', '年终奖金', '绩效奖金', '带薪年假', '节日福利', '周末双休', '定期团建', '培训']"
运维经理,港城云联（苏州）数据系统有限公司,1.8-2.8万,张家港,5年及以上,大专,通信/电信运营、增值服务,民营,50-150人,"['ups', '数据中心', '机电一体化', '柴发', 'idc运维', '交通补贴', '通讯补贴', '五险一金', '周末双休']"
OA技术经理,昆山瀚宇国际物流服务有限公司,1.2-1.8万,昆山,5年及以上,本科,交通/运输/物流,民营,150-500人,"['java', 'mysql', '二开', 'pmp', '系统逻辑', 'sqlserver', '五险一金', '专业培训', '绩效奖金', '年终奖金', '带薪年假', '职业规划']"
软件产品总监,伟尔泰克智造科技（苏州）有限公司,26-33万/年,昆山,8年及以上,本科,计算机软件,民营,150-500人,"['需求分析', '市场营销', '推广', '团队管理', '市场调研', '软件工程', '产品开发', '产品设计', '文档编写', '原型设计', '方案', '培训', '五险一金', '通讯补贴', '专业培训', '出国机会', '绩效奖金', '年终奖金']"
运维经理,港城云联（苏州）数据系统有限公司,1.8-2.8万,张家港,5年及以上,大专,通信/电信运营、增值服务,民营,50-150人,"['ups', '数据中心', '机电一体化', '柴发', 'idc运维', '交通补贴', '通讯补贴', '五险一金', '周末双休']"
IT运维主管,艺唯科技股份有限公司,1.5-1.8万,昆山,5年及以上,本科,电子技术/半导体/集成电路,民营,150-500人,"['运维主管', '五险一金', '员工旅游', '通讯补贴', '专业培训', '节日福利']"
软件开发经理,伟尔泰克智造科技（苏州）有限公司,1.8-2.8万·13薪,昆山,8年及以上,本科,计算机软件,民营,150-500人,"['计算机', 'java', '数据库', 'springboot', 'mybatis', '设计模式', 'saas', '微服务架构', '手机app', 'flutter', '五险一金', '年终奖金', '通讯补贴', '绩效奖金', '专业培训']"
运维经理,港城云联（苏州）数据系统有限公司,1.8-2.8万,张家港,5年及以上,大专,通信/电信运营、增值服务,民营,50-150人,"['ups', '数据中心', '机电一体化', '柴发', 'idc运维', '交通补贴', '通讯补贴', '五险一金', '周末双休']"
Sr.IT Engineer,常熟市通和人力资源服务有限公司,1.5-2万,上海,8年及以上,本科,专业服务(咨询、人力资源、财会),民营,少于50人,"['server', 'aws', 'cloud', 'azure', 'db', 'os', 'hardware', 'patch', 'alicloud', 'maintanance']"
IT信息主管,优护优家健康科技（苏州）有限公司,1.2-1.5万·13薪,昆山,5-7年,大专,快速消费品(食品、饮料、化妆品),民营,500-1000人,"['mysql', 'oracle', '数据库', 'sql', 'erp', 'sqlserver', '需求调研', 'c#', '设计模式', 'oa', '员工旅游', '年终奖金', '五险一金', '通讯补贴', '餐饮补贴', '专业培训', '定期体检']"
IT工程师（软件）,苏州英华特涡旋技术股份有限公司,1.3-1.8万·14薪,常熟,3-4年,本科,机械/设备/重工,民营,150-500人,"['培训', '计算机', '数据库', '财务', '项目管理', '成本核算', '解决方案', '软件工程', '信息管理', '系统集成', '五险一金', '员工旅游', '定期体检', '绩效奖金', '带薪年假', '节日福利', '年终奖金', '试用期同薪', '免费工作餐']"
it工程师,太仓优尼泰克精密机械有限公司,1.5-2万·13薪,太仓,3年及以上,本科,机械/设备/重工,外资（欧美）,150-500人,"['sap', '英文', '二次开发', '维护管理', 'sap系统', '英文技术文档', '培训支持', 'microsoft', '办公流程', '问题解决', '培训']"
IT经理,苏州英特模科技股份有限公司,1-1.8万,常熟,3年及以上,本科,汽车,民营,500-1000人,"['数据分析', '需求分析', '网络', 'it', '服务器', '维护', 'ai', '安全', '五险一金', '带薪年假', '年终奖金', '专业培训', '定期体检', '出差补贴', '免费工作餐', '员工生日会']"
IT Supervisor,戴铂科技（常熟）有限公司,1.2-2万·13薪,常熟,5年及以上,本科,原材料和加工,外资（欧美）,少于50人,"['access', 'hrm', 'sigma', 'printer', 'health', 'dps', 'it', 'project', 'nav', 'o365', '五险一金', '补充医疗保险', '带薪年假', '年终奖金', '绩效奖金', '定期体检', '免费工作餐', '免费班车', '定期团建']"
信息安全助理经理,江苏正力新能电池技术股份有限公司,2.5-3.5万·14薪,常熟,6年及以上,本科,新能源,民营,1000-5000人,"['信息安全', '五险一金', '年终奖金', '免费住宿', '免费三餐']"
数字化产品负责人-TPO,通力电梯有限公司,2-3万·14薪,昆山,3-5年,本科,机械/设备/重工,外资（欧美）,10000人以上,"['五险一金', '年终奖金', '定期体检', '专业培训', '餐饮补贴', '交通补贴', '节日福利', '带薪年假', '周末双休', '补充医疗保险']"
IT内控经理,乐美包装（昆山）有限公司,1.4-2.4万·13薪,昆山,5年及以上,本科,印刷/包装/造纸,外资（非欧美）,1000-5000人,"['数据分析', 'excel', '项目管理', '审计', 'sap', 'mes', '信息管理', '项目计划', '计算机科学', '权限管理', '五险一金', '年终奖金', '绩效奖金', '定期体检', '餐饮补贴', '通讯补贴', '节日福利', '带薪年假', '周末双休', '补充医疗保险']"
IE经理（智能制造方向）,上海一恒科技有限公司,2-3万,昆山,5年及以上,本科,仪器仪表/工业自动化,民营,150-500人,"['方案', '培训', '职业发展', '发展平台', '快速发展', '晋升空间', '五险一金', '免费班车', '专业培训', '节假日福利', '工作餐']"
IT工程师,苏州异彩达复合材料有限公司,1.2-1.8万,昆山,3年及以上,本科,原材料和加工,合资,50-150人,"['u8', '机房', '监控设备', 'it运营', '计算机硬软件', '网络', '计算机', '安装', '调试', '信息系统', '五险一金', '节日福利', '全勤奖']"
软件开发经理 (Digital Manager),通力电梯有限公司,2-3万,昆山,5年及以上,本科,机械/设备/重工,外资（欧美）,10000人以上,"['五险一金', '年终奖金', '定期体检', '带薪年假', '团队氛围好', '节假日福利']"
应用系统工程师(IT Application Engineer),昆山怡口净水系统有限公司,22-26万/年,昆山,3年及以上,本科,家具/家电/玩具/礼品,外资（欧美）,150-500人,"['mysql', 'oracle', 'linux', 'redis', '运维', '性能测试', 'weblogic', 'docker', 'mongodb', '中间件']"
IT工程师,苏州异彩达复合材料有限公司,1.2-1.8万,昆山,3年及以上,本科,原材料和加工,合资,50-150人,"['u8', '机房', '监控设备', 'it运营', '计算机硬软件', '网络', '计算机', '安装', '调试', '信息系统', '五险一金', '节日福利', '全勤奖']"
IT工程师,博众优浦（常熟）汽车部件科技有限公司,1-2万·13薪,常熟,3年及以上,本科,汽车,民营,500-1000人,"['金蝶', '解决方案', '运维', '软件', '用友', 'mes系统', '互联网思维', '数字化项目', '五险一金', '包三餐', '包住宿', '高温补贴', '全勤奖', '节日福利', '通讯补贴']"
流程管理经理,江苏正力新能电池技术股份有限公司,2-3万·14薪,常熟,8年及以上,本科,新能源,民营,1000-5000人,"['流程管理', '方案', '培训', '五险一金', '年终奖金', '免费住宿', '免费三餐']"
IT副经理,张家港友诚新能源科技股份有限公司,8千-1.2万,张家港,5年及以上,大专,汽车,民营,500-1000人,"['计算机', 'mysql', '管理', 'oracle', 'erp', '安全管理', 'oa', 'mes', '运维管理', 'u8', '五险一金', '绩效奖金', '节日福利']"
IT高级工程师,昆山联滔电子有限公司,1.1-1.5万,昆山,3年及以上,大专,电子技术/半导体/集成电路,民营,,"['oracle', '测试', 'css', 'html', 'javascript', '需求分析', '开发', '前端开发', 'ai', 'tcp']"
IT经理,昆山嘉华电子有限公司,1.5-2.5万,昆山,10年及以上,大专,汽车,合资,1000-5000人,"['项目管理', 'erp', '网络', '运维', '计算机网络', 'oa', 'it', '服务器', '功能设计', 'mes', '系统培训']"
服务器系统工程师,上海鸣志电器股份有限公司,1.5-2.5万·14薪,太仓,3年及以上,本科,仪器仪表/工业自动化,已上市,1000-5000人,"['服务器', '数据库', '五险一金', '免费班车', '员工旅游', '绩效奖金', '专业培训', '餐饮补贴', '年终奖金', '通讯补贴', '定期体检']"
QAD运维工程师,江苏博俊工业科技股份有限公司,1-1.8万,昆山,5年及以上,大专,汽车零配件,已上市,500-1000人,"['erp', '服务器运维', 'qad', '财务模块', '供应链模块', '五险一金', '补充公积金', '带薪年假', '年终奖金', '免费工作餐', '包住']"
